playerAggression,distance,nemInput,curReward
8,249192.859375,Burst,-3
8,246820.015625,Melee,-3
8,244459.9375,Melee,-3
8,242114.65625,Burst,-3
8,239784.15625,Burst,-3
0,240515.546875,Melee,-2
0,241246.59375,Melee,-2
0,241977.625,Melee,-2
0,242708.65625,Burst,-2
-1,243439.6875,Melee,-2
1,243514.15625,Melee,-2
1,242344.625,Melee,-2
1,242410.484375,Burst,-2
1,242554.125,Melee,-2
-1,242775.53125,Melee,-2
-2,244052.25,Burst,-2
-2,245209.90625,Melee,-2
8,246367.5625,Melee,-2
8,247525.1875,Melee,-2
8,248682.875,Melee,-2
8,249840.53125,Melee,-2
8,250996.0,Melee,-2
8,249839.046875,Melee,-2
8,248681.875,Run,-1
8,247524.21875,Run,-1
8,246366.5625,Run,-2
8,245208.90625,Run,-2
8,244050.0,Burst,-2
8,242893.203125,Melee,-2
8,241735.53125,Melee,-2
8,240577.875,Melee,-2
8,239420.21875,Melee,-2
8,238260.96875,Melee,-2
8,237104.59375,Melee,-2
8,235946.9375,Melee,-2
8,234789.28125,Melee,-2
8,233631.625,Melee,-2
8,232551.21875,Melee,-2
8,231553.84375,Melee,-2
8,230633.875,Melee,-2
8,229793.15625,Dash,-2
8,229031.6875,Run,-2
8,228347.03125,Run,-2
8,227399.71875,Run,-2
8,226242.0625,Melee,-2
8,225084.40625,Melee,-2
8,223926.75,Melee,-2
8,223926.75,Melee,-2
1,223926.75,Melee,-2
1,223926.75,Melee,-2
1,225084.40625,Melee,-2
1,226242.0625,Melee,-2
1,227399.703125,Melee,-2
1,228557.34375,Melee,-2
1,229715.0,Melee,-2
1,230872.65625,Melee,-2
1,232030.3125,Melee,-2
1,233187.9375,Run,-2
5,234345.59375,Run,-2
5,234345.59375,Run,-3
5,233282.65625,Run,-3
5,232226.875,Run,-3
5,231171.09375,Run,-3
5,230115.3125,Run,-3
5,229059.53125,Melee,-3
5,228003.734375,Melee,-3
5,226947.953125,Melee,-3
5,226572.796875,Melee,-3
5,226447.03125,Melee,-3
1,226400.5,Melee,-3
-2,226433.203125,Melee,-3
-2,227649.765625,Melee,-3
-2,228945.5625,Melee,-3
-2,230320.59375,Burst,-3
1,231774.875,Burst,-3
1,231099.09375,Burst,-3
1,230423.171875,Burst,-3
1,229318.546875,Burst,-3
5,228213.90625,Melee,-3
5,228213.90625,Melee,-4
5,228213.90625,Melee,-4
5,228213.90625,Melee,-4
5,228213.90625,Melee,-4
5,228213.90625,Melee,-4
5,228213.90625,Melee,-4
5,228213.90625,Melee,-4
5,228213.90625,Melee,-4
5,228213.90625,Melee,-4
5,228213.90625,Melee,-4
1,228213.90625,Melee,-4
8,228213.90625,Melee,-4
8,229318.546875,Melee,-4
8,230423.171875,Melee,-4
8,231527.8125,Melee,-4
8,232632.4375,Melee,-4
8,233737.0625,Burst,-4
8,234838.4375,Melee,-4
8,235945.625,Melee,-4
8,237050.25,Melee,-4
8,238154.875,Melee,-4
8,239259.5,Melee,-4
8,240361.34375,Melee,-4
8,240361.34375,Melee,-4
8,239257.578125,Run,-4
8,238153.75,Dash,-4
8,237049.09375,Run,-4
8,235944.46875,Run,-5
8,233668.3125,Dash,-5
8,231414.84375,Dash,-5
8,229179.03125,Dash,-5
8,226956.734375,Jump,-5
8,224749.21875,Jump,-5
8,222556.46875,Dash,-5
8,220376.53125,Melee,-5
8,218892.8125,Melee,-5
8,217657.4375,Melee,-5
8,216501.28125,Melee,-5
